file_number	wellnumber	col_number	row_number	blank	smiles	pubchem_cid	error_code	tm_inf_	apo_tm_inf__median	apo_tm_inf__mad
10	83	11	4	FALSE	CC[C@H](C)C[C@H]1CC[C@@](O)(O[C@@H]1C)[C@](C)(O)C(=O)N[C@H]4[C@@H](OC(=O)[C@@H](C)N(O)C(=O)[C@@H]2CCCNN2C(=O)CNC(=O)[C@H](C)N(O)C(=O)[C@H]3CCCNN3C4=O)C(C)C	14588192	0	67.40256142	68.2113126	0.093646869
5	148	4	7	FALSE	Oc1cccc2[C@H](CCC(=O)c12)c4ccc(O)c5[C@@H](O)[C@H]3O[C@H]3C(=O)c45	9998112	0	68.253176	68.2772857	0.055985758
9	148	4	7	FALSE	Oc1cccc2[C@H](CCC(=O)c12)c4ccc(O)c5[C@@H](O)[C@H]3O[C@H]3C(=O)c45	9998112	0	68.78922488	68.2799394	0.146243329
13	148	4	7	FALSE	Oc1cccc2[C@H](CCC(=O)c12)c4ccc(O)c5[C@@H](O)[C@H]3O[C@H]3C(=O)c45	9998112	0	68.26452328	68.28545317	0.071644612
2	300	12	13	FALSE	COc2cc(O)c1C(=O)CC(C)(O)Oc1c2	44233636	0	68.03655662	68.20813253	0.069540518
6	300	12	13	FALSE	COc2cc(O)c1C(=O)CC(C)(O)Oc1c2	44233636	0	67.9222993	68.16918549	0.097207372
10	300	12	13	FALSE	COc2cc(O)c1C(=O)CC(C)(O)Oc1c2	44233636	0	67.87730615	68.2113126	0.093646869
2	213	21	9	FALSE	COC(=O)c1cc(O)cc(OC)c1Oc2cc(C)c(Cl)c(O)c2C(O)=O	24175292	0	68.01895174	68.20813253	0.069540518
6	213	21	9	FALSE	COC(=O)c1cc(O)cc(OC)c1Oc2cc(C)c(Cl)c(O)c2C(O)=O	24175292	0	68.02518764	68.16918549	0.097207372
10	213	21	9	FALSE	COC(=O)c1cc(O)cc(OC)c1Oc2cc(C)c(Cl)c(O)c2C(O)=O	24175292	0	68.03154935	68.2113126	0.093646869
2	352	16	15	FALSE	CCCc2ccc1CC(Oc1c2CO)C(C)(C)O	184225	0	68.25447291	68.20813253	0.069540518
6	352	16	15	FALSE	CCCc2ccc1CC(Oc1c2CO)C(C)(C)O	184225	0	68.24251229	68.16918549	0.097207372
10	352	16	15	FALSE	CCCc2ccc1CC(Oc1c2CO)C(C)(C)O	184225	0	68.28016688	68.2113126	0.093646869
4	243	3	11	FALSE	CC3(C)CCC[C@]4(C)[C@@H](C[C@@]12O[C@@H]1[C@H](O)C(COC(=O)CC(O)=O)=CC2=O)C(=C)CC[C@@H]34	100920626	0	68.12022913	68.23675053	0.084874697
8	243	3	11	FALSE	CC3(C)CCC[C@]4(C)[C@@H](C[C@@]12O[C@@H]1[C@H](O)C(COC(=O)CC(O)=O)=CC2=O)C(=C)CC[C@@H]34	100920626	0	68.16713939	68.16496682	0.092534993
12	243	3	11	FALSE	CC3(C)CCC[C@]4(C)[C@@H](C[C@@]12O[C@@H]1[C@H](O)C(COC(=O)CC(O)=O)=CC2=O)C(=C)CC[C@@H]34	100920626	0	68.19867937	68.17382353	0.077146382
2	19	19	1	FALSE	Oc1ccc(cc1)C3=COc2c(Cl)c(O)c(Cl)c(O)c2C3=O	NA	0	68.50425575	68.20813253	0.069540518
6	19	19	1	FALSE	Oc1ccc(cc1)C3=COc2c(Cl)c(O)c(Cl)c(O)c2C3=O	NA	0	68.58718336	68.16918549	0.097207372
10	19	19	1	FALSE	Oc1ccc(cc1)C3=COc2c(Cl)c(O)c(Cl)c(O)c2C3=O	NA	0	68.56979272	68.2113126	0.093646869
2	367	7	16	FALSE	Cc2cc(O)cc3C(=O)c1cccc(O)c1C(=O)c23	3085033	0	68.56376003	68.20813253	0.069540518
6	367	7	16	FALSE	Cc2cc(O)cc3C(=O)c1cccc(O)c1C(=O)c23	3085033	0	68.66203191	68.16918549	0.097207372
10	367	7	16	FALSE	Cc2cc(O)cc3C(=O)c1cccc(O)c1C(=O)c23	3085033	0	68.46785998	68.2113126	0.093646869
5	358	22	15	FALSE	C[C@H]2C/C=C\C(=O)[C@@H](O)[C@@H](O)C/C=C/c1cc(O)cc(O)c1C(=O)O2	44597554	0	68.13476935	68.2772857	0.055985758
9	358	22	15	FALSE	C[C@H]2C/C=C\C(=O)[C@@H](O)[C@@H](O)C/C=C/c1cc(O)cc(O)c1C(=O)O2	44597554	0	68.21008002	68.2799394	0.146243329
13	358	22	15	FALSE	C[C@H]2C/C=C\C(=O)[C@@H](O)[C@@H](O)C/C=C/c1cc(O)cc(O)c1C(=O)O2	44597554	0	68.2236678	68.28545317	0.071644612
2	89	17	4	FALSE	Cc1c(C)c(C(O)=O)c(O)c(C)c1O	19881764	0	68.03316452	68.20813253	0.069540518
6	89	17	4	FALSE	Cc1c(C)c(C(O)=O)c(O)c(C)c1O	19881764	0	67.98217988	68.16918549	0.097207372
10	89	17	4	FALSE	Cc1c(C)c(C(O)=O)c(O)c(C)c1O	19881764	0	68.12378906	68.2113126	0.093646869
2	321	9	14	FALSE	CC4(C)C1OC1C(=O)c3c2C(O)OC(=O)c2ccc34	24829395	0	64.84509523	68.20813253	0.069540518
6	321	9	14	FALSE	CC4(C)C1OC1C(=O)c3c2C(O)OC(=O)c2ccc34	24829395	0	64.76184065	68.16918549	0.097207372
10	321	9	14	FALSE	CC4(C)C1OC1C(=O)c3c2C(O)OC(=O)c2ccc34	24829395	0	64.75005471	68.2113126	0.093646869
2	273	9	12	FALSE	O=C1NCc5c1c3c2ccccc2Nc3c6Nc4ccccc4c56	3815	0	69.84515936	68.20813253	0.069540518
6	273	9	12	FALSE	O=C1NCc5c1c3c2ccccc2Nc3c6Nc4ccccc4c56	3815	0	69.50890284	68.16918549	0.097207372
10	273	9	12	FALSE	O=C1NCc5c1c3c2ccccc2Nc3c6Nc4ccccc4c56	3815	1	69.36062787	68.2113126	0.093646869
2	118	22	5	FALSE	Oc1ccc(cc1)C(=O)CCCCc2ccccc2	71594483	0	68.7602152	68.20813253	0.069540518
6	118	22	5	FALSE	Oc1ccc(cc1)C(=O)CCCCc2ccccc2	71594483	0	68.89984333	68.16918549	0.097207372
10	118	22	5	FALSE	Oc1ccc(cc1)C(=O)CCCCc2ccccc2	71594483	0	68.94325621	68.2113126	0.093646869
2	217	1	10	FALSE	COc2ccc(/C=C(\NC=O)/C(=C/c1ccc(cc1)OC)/NC=O)cc2	11462296	0	67.96107687	68.20813253	0.069540518
6	217	1	10	FALSE	COc2ccc(/C=C(\NC=O)/C(=C/c1ccc(cc1)OC)/NC=O)cc2	11462296	0	67.90457269	68.16918549	0.097207372
10	217	1	10	FALSE	COc2ccc(/C=C(\NC=O)/C(=C/c1ccc(cc1)OC)/NC=O)cc2	11462296	0	67.91896177	68.2113126	0.093646869
2	279	15	12	FALSE	CC(C)CC3OC(=O)CCNC(=O)C(C(C)C)N(C)C(=O)C(C(C)C)N(C)C(=O)C(Cc1ccccc1)NC(=O)C2C(C)CCN2C3=O	16090298	0	68.01299413	68.20813253	0.069540518
6	279	15	12	FALSE	CC(C)CC3OC(=O)CCNC(=O)C(C(C)C)N(C)C(=O)C(C(C)C)N(C)C(=O)C(Cc1ccccc1)NC(=O)C2C(C)CCN2C3=O	16090298	0	67.84273538	68.16918549	0.097207372
10	279	15	12	FALSE	CC(C)CC3OC(=O)CCNC(=O)C(C(C)C)N(C)C(=O)C(C(C)C)N(C)C(=O)C(Cc1ccccc1)NC(=O)C2C(C)CCN2C3=O	16090298	0	67.97784756	68.2113126	0.093646869
2	87	15	4	FALSE	C2[C@H]3CN1CCCC[C@@H]1[C@@H]2C=C4CCCN[C@@H]34	10752071	0	68.17282695	68.20813253	0.069540518
6	87	15	4	FALSE	C2[C@H]3CN1CCCC[C@@H]1[C@@H]2C=C4CCCN[C@@H]34	10752071	0	68.12067039	68.16918549	0.097207372
10	87	15	4	FALSE	C2[C@H]3CN1CCCC[C@@H]1[C@@H]2C=C4CCCN[C@@H]34	10752071	0	68.07996303	68.2113126	0.093646869
