library	broad_id	other_id	smiles	hit	std_attempted	trosy_attempted	trosy_validated	pool	color	parsed	hba	hbd	logp	mw	rotb	tpsa
f19	BRD-K21037653-001-01-0		NCCn1nc(ccc1=O)-c1ccc(F)cc1	0	0	0	0	NA	#66A61E	TRUE	2	1	2.1	233.1	3	60.9
f19	BRD-A53717835-001-01-1		NC(=O)NC1CN(C(=O)C1)c1ccc(F)cc1	0	0	0	0	NA	#66A61E	TRUE	5	2	0.9	237.1	3	75.4
f19	BRD-K96624404-001-02-5		OC(=O)Cn1cc(cn1)-c1ccc(F)cc1	0	0	0	0	NA	#66A61E	TRUE	3	1	1.8	220.1	3	55.1
f19	BRD-K89949010-003-01-9		NCc1nnc(n1-c1ccccc1)C(F)(F)F	0	0	0	0	NA	#66A61E	TRUE	3	1	1.9	242.1	3	56.7
f19	BRD-K72901873-001-06-8		NC(=O)CN1CCN(CC1)c1ccccc1F	0	0	0	0	NA	#66A61E	TRUE	4	1	1.3	237.1	3	49.6
f19	BRD-K52501707-001-01-3		OC(=O)C1CN(C1)c1nc2ccc(F)cc2s1	0	0	0	0	NA	#66A61E	TRUE	4	1	2.3	252	2	81.7
f19	BRD-K10849319-001-01-7		OC(=O)C1CN(C1)C(=O)COc1ccccc1F	0	0	0	0	NA	#66A61E	TRUE	4	1	0.8	253.1	5	66.8
f19	BRD-K65100212-001-01-7		NC(=N)Nc1cccc(c1)C(F)(F)F	0	0	0	0	NA	#66A61E	TRUE	3	3	2.3	203.1	3	61.9
f19	BRD-A48762165-001-02-3		OC(=O)C1CN(C(=O)C1)c1cccc(F)c1	0	0	0	0	NA	#66A61E	TRUE	4	1	1.2	223.1	2	57.6
f19	BRD-K74086477-001-02-5		Nc1cc(ncn1)C(F)(F)F	0	0	0	0	NA	#66A61E	TRUE	3	1	1	163	1	51.8
f19	BRD-K12621061-001-01-8		Fc1cc(F)c2nc(OC3CCNCC3)sc2c1	0	0	0	0	NA	#66A61E	TRUE	2	1	2	270.1	2	62.4
f19	BRD-K07758594-001-02-9		NS(=O)(=O)Cc1ccccc1F	0	0	0	0	NA	#66A61E	TRUE	3	1	1	189	2	68.5
f19	BRD-K51830793-001-01-2		Oc1ccc(cc1)-c1noc(n1)C(F)(F)F	0	0	0	0	NA	#66A61E	TRUE	1	1	2.7	230	2	59.2
f19	BRD-K00406132-001-01-3		CCN(CC)CCNc1nc2ccc(F)cc2s1	0	0	0	0	NA	#66A61E	TRUE	3	1	3.1	267.1	6	56.4
f19	BRD-K76792699-001-01-0		CCOC(=O)C(=O)Nc1ccccc1F	0	0	0	0	NA	#66A61E	TRUE	4	1	1.6	211.1	5	55.4
f19	BRD-K77644128-001-01-3		CN(CC(O)=O)c1nc2c(F)cccc2s1	0	0	0	0	NA	#66A61E	TRUE	4	1	2.3	240	3	81.7
f19	BRD-A58902991-001-07-1		Fc1ccc(cc1)C1NC(=O)NC1=O	0	0	0	0	NA	#66A61E	TRUE	4	2	1.1	194	1	58.2
f19	BRD-K31762565-001-01-8		OC(=O)c1cccn(Cc2ccc(cc2)C(F)(F)F)c1=O	0	0	0	0	NA	#66A61E	TRUE	2	1	3.4	297.1	4	59.3
f19	BRD-K60476351-001-01-7		Fc1ccc(cc1)-n1ccnc1S	0	0	0	0	NA	#66A61E	TRUE	1	0	2.7	194	1	56.6
f19	BRD-A01045595-003-03-2		NC1CN(Cc2c(F)cccc2F)C(=O)C1	0	0	0	0	NA	#66A61E	TRUE	3	1	0.8	226.1	2	46.3
f19	BRD-K01697584-001-08-4		Nc1[nH]ncc1-c1ccc(F)cc1	0	0	0	0	NA	#66A61E	TRUE	2	2	1.4	177.1	1	54.7
f19	BRD-K57135351-001-01-4		N\C(c1cccc(c1)C(F)(F)F)=N/O	0	0	0	0	NA	#66A61E	TRUE	1	2	2	204.1	2	58.6
f19	BRD-K60398153-001-03-9		OC(=O)COc1ccc(F)cc1	0	0	0	0	NA	#66A61E	TRUE	2	1	1.7	170	3	46.5
f19	BRD-A58848962-001-01-4		CN1CC(=O)NC(C1=O)c1ccccc1F	0	0	0	0	NA	#66A61E	TRUE	4	1	0.4	222.1	1	49.4
f19	BRD-K34403647-001-01-8		NC(=N)Nc1cccc(F)c1	0	0	0	0	NA	#66A61E	TRUE	3	3	1.7	153.1	2	61.9
f19	BRD-K08737578-001-01-4		OC(=O)c1sccc1F	0	0	0	0	NA	#66A61E	TRUE	2	1	1.6	146	1	65.5
f19	BRD-K08310453-001-01-0		FC(F)(F)CNc1cccnc1	0	0	0	0	NA	#66A61E	TRUE	2	1	1.6	176.1	3	24.9
f19	BRD-K89634187-001-01-8		Cc1nc2ccc(N)cc2c(=O)n1-c1ccc(F)cc1	0	0	0	0	NA	#66A61E	TRUE	2	1	3.2	269.1	1	60.9
f19	BRD-K02447295-001-03-4		OC(=O)c1n[nH]c2cc(F)ccc12	0	0	0	0	NA	#66A61E	TRUE	3	2	1.8	180	1	66
f19	BRD-A22247647-003-01-1		NCC1CN(C(=O)O1)c1ccc(F)cc1	0	0	0	0	NA	#66A61E	TRUE	4	1	1.3	210.1	2	55.6
f19	BRD-A47320041-001-01-3		NCC(O)c1ccc(cc1)C(F)(F)F	0	0	0	0	NA	#66A61E	TRUE	2	2	1.4	205.1	3	46.2
f19	BRD-K49813476-001-01-7		OC(=O)CCc1ccc(F)c(Cl)c1	0	0	0	0	NA	#66A61E	TRUE	2	1	2.7	202	3	37.3
f19	BRD-K63153535-001-01-8		Fc1ccc2COC(=O)c2c1	0	0	0	0	NA	#66A61E	TRUE	2	0	1.8	152	0	26.3
f19	BRD-K45616510-001-01-6		OC(=O)Cc1csc(Nc2ccc(F)cc2)n1	0	0	0	0	NA	#66A61E	TRUE	4	2	2.8	252	4	90.5
f19	BRD-K01652466-001-01-7		COc1ccc(NCC(F)(F)F)cc1	0	0	0	0	NA	#66A61E	TRUE	1	1	2.9	205.1	4	21.3
f19	BRD-K71498516-001-02-8		Nc1nnc(o1)C(F)(F)F	0	0	0	0	NA	#66A61E	TRUE	3	1	0.3	153	1	64.9
f19	BRD-K66263674-001-01-3		OC(=O)c1cc2cc(F)ccc2s1	0	0	0	0	NA	#66A61E	TRUE	2	1	2.7	196	1	65.5
f19	BRD-A90753035-001-01-9		Fc1cccc(c1)N1CC(CC1=O)NC(=O)NCC=C	0	0	0	0	NA	#66A61E	TRUE	5	2	1.5	277.1	6	61.4
f19	BRD-K38233202-003-02-6		Cc1n[nH]c(N)c1-c1ccccc1F	0	0	0	0	NA	#66A61E	TRUE	2	2	1.6	191.1	1	54.7
f19	BRD-K84206768-001-01-7		CCOC(=O)C(=O)Nc1cc(F)ccc1F	0	0	0	0	NA	#66A61E	TRUE	4	1	2	229.1	5	55.4
f19	BRD-K51058098-001-02-0		OC(=O)c1ccc(=O)n(Cc2cccc(c2)C(F)(F)F)c1	0	0	0	0	NA	#66A61E	TRUE	2	1	3.4	297.1	4	59.3
f19	BRD-K36032032-003-01-2		Fc1ccc(CSC2=NCCN2)cc1	0	0	0	0	NA	#66A61E	TRUE	2	1	2.5	210.1	3	49.7
f19	BRD-K28252316-300-01-3		FC(F)(F)c1ccc(OC2CCNCC2)nc1	0	0	0	0	NA	#66A61E	TRUE	2	1	0.8	246.1	3	34.1
f19	BRD-K33371231-001-01-0		OCc1cc(on1)-c1ccc(F)cc1	0	0	0	0	NA	#66A61E	TRUE	1	1	2	193.1	2	46.3
f19	BRD-K44979721-001-01-4		FC(F)(F)CNCc1ccccn1	0	0	0	0	NA	#66A61E	TRUE	2	1	1.6	190.1	4	24.9
f19	BRD-A69559220-001-01-2		Fc1ccccc1NC(=O)CC1NCCNC1=O	0	0	0	0	NA	#66A61E	TRUE	5	3	0.2	251.1	4	70.2
f19	BRD-K25413672-001-01-6		OC(=O)Cc1cc(on1)-c1ccccc1F	0	0	0	0	NA	#66A61E	TRUE	2	1	2.3	221	3	63.3
f19	BRD-K23818862-001-01-8		NC(=N)Nc1ccc(cc1)C(F)(F)F	0	0	0	0	NA	#66A61E	TRUE	3	3	2.3	203.1	3	61.9
f19	BRD-K90666227-001-01-9		COC(=O)c1sccc1F	0	0	0	0	NA	#66A61E	TRUE	2	0	1.9	160	2	54.5
f19	BRD-A36069005-003-01-9		Fc1ccccc1C1CCNC1	0	0	0	0	NA	#66A61E	TRUE	1	1	1	165.1	1	12
f19	BRD-A21016132-001-01-7		CN1CC(=O)NC(C1=O)c1ccc(F)cc1	0	0	0	0	NA	#66A61E	TRUE	4	1	0.5	222.1	1	49.4
f19	BRD-K28326030-001-01-4		CN1CCN(CC1)S(=O)(=O)c1cccc(F)c1	0	0	0	0	NA	#66A61E	TRUE	4	0	1.3	258.1	2	49
f19	BRD-K56208585-001-01-8		Fc1ccccc1N1CCN(CCNC(=O)C2CC2)CC1	0	0	0	0	NA	#66A61E	TRUE	4	1	1.9	291.2	6	35.6
f19	BRD-K43465448-001-01-7		COc1ncccc1C(=O)NCC(F)(F)F	0	0	0	0	NA	#66A61E	TRUE	3	1	1.2	234.1	5	51.2
f19	BRD-K60118092-001-01-9		COC(=O)N1CCC(CNC(=O)c2ccc(F)cc2)CC1	0	0	0	0	NA	#66A61E	TRUE	5	1	0.6	294.1	6	58.6
f19	BRD-K47705565-001-01-9		Fc1ccccc1OCC(=O)NCCn1ncccc1=O	0	0	0	0	NA	#66A61E	TRUE	3	1	1.7	291.1	7	73.2
f19	BRD-K06907511-001-02-3		CNCc1cccc(F)c1	0	0	0	0	NA	#66A61E	TRUE	1	1	1.7	139.1	2	12
f19	BRD-K47747267-001-02-0		Nc1nnc(Cc2ccc(F)cc2)o1	0	0	0	0	NA	#66A61E	TRUE	3	1	1.4	193.1	2	64.9
f19	BRD-K36825806-003-01-3		NCCc1ccc(cc1)C(F)(F)F	0	0	0	0	NA	#66A61E	TRUE	1	1	2.1	189.1	3	26
f19	BRD-K21703027-003-01-2		NC(=N)c1ccccc1F	0	0	0	0	NA	#66A61E	TRUE	2	2	1.4	138.1	1	49.9
f19	BRD-A59115224-001-01-1		CS(=O)(=O)NCC1CN(C(=O)O1)c1ccc(F)cc1	0	0	0	0	NA	#66A61E	TRUE	6	1	1.2	288.1	4	84.1
f19	BRD-K50909217-001-01-3		COCCNC(=O)N(Cc1ccsc1)CC(F)(F)F	0	0	0	0	NA	#66A61E	TRUE	4	1	1.8	296.1	9	69.8
f19	BRD-K43155243-001-01-1		Fc1ccc(OCCNC(=O)C2CC2)cc1	0	0	0	0	NA	#66A61E	TRUE	2	1	1.9	223.1	6	38.3
f19	BRD-K82475417-001-01-5		FC(F)(F)CNC(=O)c1cccs1	0	0	0	0	NA	#66A61E	TRUE	2	1	2	209	4	57.3
f19	BRD-A43090343-001-01-1		Fc1ccccc1NC1CS(=O)(=O)C=C1	0	0	0	0	NA	#66A61E	TRUE	3	1	1.4	227	2	54.6
f19	BRD-A91863792-001-01-8		CC(C)c1noc(n1)C1CN(C(=O)C1)c1ccccc1F	0	0	0	0	NA	#66A61E	TRUE	3	0	1.8	289.1	3	59.2
f19	BRD-A24167424-001-01-2		CN1CC(=O)NC(C1=O)c1cccc(F)c1	0	0	0	0	NA	#66A61E	TRUE	4	1	0.5	222.1	1	49.4
f19	BRD-K44593952-001-02-1		NCC1(CC1)c1ccc(F)cc1	0	0	0	0	NA	#66A61E	TRUE	1	1	1	165.1	2	26
f19	BRD-A96473392-001-01-5		CN(C1CCS(=O)(=O)C1)C(=O)c1ccccc1F	0	0	0	0	NA	#66A61E	TRUE	4	0	0.6	271.1	3	62.8
f19	BRD-K95847916-001-01-6		OC(=O)c1ccc(=O)n(Cc2ccc(cc2)C(F)(F)F)c1	0	0	0	0	NA	#66A61E	TRUE	2	1	3.4	297.1	4	59.3
f19	BRD-K96580260-001-01-4		COC(=O)NCCN1CCN(CC1)c1ccccc1F	1	1	0	0	4	#66A61E	TRUE	5	1	2.2	281.2	6	44.8
f19	BRD-A77086127-001-01-0		Cc1ccc(o1)C(O)CNS(=O)(=O)c1ccccc1F	0	0	0	0	NA	#66A61E	TRUE	4	2	2	299.1	5	87.9
f19	BRD-K84716021-001-01-8		FC(F)(F)CNC(=O)c1ccsc1	0	0	0	0	NA	#66A61E	TRUE	2	1	1.8	209	4	57.3
f19	BRD-A27343150-001-01-6		CCN(C1CCS(=O)(=O)C1)C(=O)c1ccc(F)cc1	0	0	0	0	NA	#66A61E	TRUE	4	0	1	285.1	4	62.8
f19	BRD-K17515353-001-01-4		Fc1ccccc1NC(=O)N1CCCC1	0	0	0	0	NA	#66A61E	TRUE	3	1	0.8	208.1	3	32.3
